feature,importance_mean,importance_std
year_num,812.6359090412683,94.2253611865789
vehicle_age,686.1269179095557,88.37300927975562
log_mileage,536.1123398628689,56.82327223224441
city,530.1177125461065,76.18471004873409
mileage_num,461.6982080840002,64.72235210557513
seller_type,293.2068273678115,75.70439933076973
cylinders,274.64240895084794,38.307546165703585
make,186.1657978984209,28.304529616372175
condition,153.11146790258923,32.432604773144554
type,145.25274661290032,29.430922341308673
fuel,104.44359469118153,19.20567249262525
model,87.4136711926693,33.76007966635615
drive,77.38807010420278,19.466598611702597
state,26.718808870797634,11.196192434875888
zip_prefix,23.67157255104312,18.85844642327881
title_status,4.244308608273665e-13,1.1343391897068134e-13
transmission,-1.6028700791134118,2.903195683019724
